spatial_id,source_csv,ebno_db,bler,post_ldpc_ber,pre_ldpc_coded_ber,coded_bce,block_errors,num_blocks,num_layer_blocks,info_bit_errors,coded_bit_errors,k_per_layer,n_per_layer,coderate,decoder_iterations,target_reached,num_batches,receiver,csi,model,checkpoint_model,train_seed,eval_seed,common_random_numbers,checkpoint,checkpoint_epoch,phase_mode,num_layers,num_rx_ant,total_tx_power,train_profile,test_profile,backend,scenario,tdl_model,delay_ns,bler_ci95_low,bler_ci95_high
layer2_rx2,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx2/uma_normalized/lmmse_perfect/bler.csv,7.0,0.33311170212765956,0.036012377487194644,0.09176224512411348,0.19189364521215993,501,1504,3008,93593,476964,864,1728,0.5,20,1,94,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0.30974322455054354,0.35733052709399477
layer2_rx2,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx2/uma_normalized/lmmse_perfect/bler.csv,9.0,0.19778481012658228,0.02079785110466479,0.07003001567627755,0.14775289787242404,500,2528,5056,90853,611836,864,1728,0.5,20,1,158,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0.18272086136119534,0.21376583622541942
layer2_rx2,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx2/uma_normalized/lmmse_perfect/bler.csv,11.0,0.1223249027237354,0.013119207333549503,0.05237233334684393,0.11143433283206484,503,4112,8224,93219,744267,864,1728,0.5,20,1,257,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0.11266098768508781,0.13269381252386936
layer2_rx2,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx2/uma_normalized/lmmse_perfect/bler.csv,13.0,0.08044871794871795,0.008128932217473885,0.038840895432692306,0.08313013060480101,502,6240,12480,87652,837621,864,1728,0.5,20,1,390,lmmse_perfect,perfect,lmmse_perfect,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx2_seed0.pt,129,uniform,2,2,1.0,umi_uma_mix_normalized,uma_normalized,uma,uma,,,0.07395554335826483,0.08745814170526502
layer2_rx4,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx4/umi_normalized/lmmse_ls/bler.csv,3.0,0.6025943396226415,0.09328594514325646,0.12544904131726065,0.27955116849108896,511,848,1696,136696,367652,864,1728,0.5,20,1,53,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0.5692661017385333,0.6349972599448591
layer2_rx4,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx4/umi_normalized/lmmse_ls/bler.csv,5.0,0.41694078947368424,0.06358459353679337,0.09418450368542886,0.21201685483460306,507,1216,2432,133607,395810,864,1728,0.5,20,1,76,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0.3895323445724514,0.44487236553201787
layer2_rx4,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx4/umi_normalized/lmmse_ls/bler.csv,7.0,0.2932242990654206,0.043393989053305645,0.0692245573187089,0.15676646110466005,502,1712,3424,128374,409579,864,1728,0.5,20,1,107,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0.27214203047334706,0.31523243448065197
layer2_rx4,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx4/umi_normalized/lmmse_ls/bler.csv,9.0,0.19772012578616352,0.02815857573375262,0.04937657414686699,0.11257052188316148,503,2544,5088,123786,434122,864,1728,0.5,20,1,159,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0.1827041556569838,0.2136476092162176
layer2_rx4,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx4/umi_normalized/lmmse_ls/bler.csv,11.0,0.12651821862348178,0.017772588187884242,0.03388381937415655,0.07764649270964019,500,3952,7904,121370,462789,864,1728,0.5,20,1,247,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0.11651521378492978,0.13724658867111633
layer2_rx4,runs/su_mimo_lmmse_umi_uma_matrix_v1/layer2_rx4/umi_normalized/lmmse_ls/bler.csv,13.0,0.0786746231155779,0.011184394193188164,0.02359421710694677,0.0543529914105136,501,6368,12736,123072,519257,864,1728,0.5,20,1,398,lmmse_ls,ls,lmmse_ls,su_mimo_phase_sensitive,-1,777000,1,/home/ahhy/projects/phase_invariant_receiver_sionna/checkpoints/generalization/umi_uma_mix_normalized/su_mimo_phase_sensitive_seed0/su_mimo_phase_sensitive_layer2_rx4_seed0.pt,127,uniform,2,4,1.0,umi_uma_mix_normalized,umi_normalized,umi,umi,,,0.07231317522866694,0.08554408869121351
