train_domain,train_profile,test_group,snr_db,num_train_seeds,mean_seed_ber,std_seed_ber,ci95_low,ci95_high,mean_seed_bce,pooled_ber,errors,trials
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_b,8.0,3,0.02350964958285108,3.9492045305616166e-05,0.023411545903789556,0.023607753261912605,0.05539114689339458,0.02350964958285108,998392,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_b,10.0,3,0.012338850233289933,1.3438246663071711e-05,0.012305467777973138,0.012372232688606728,0.02844554009160349,0.012338850233289931,523998,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_b,12.0,3,0.00713873498233748,1.2981580228730295e-05,0.007106486949331966,0.007170983015342995,0.016134489078669705,0.00713873498233748,303163,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_b,14.0,3,0.0044646792941623265,1.7680545462936937e-05,0.004420758384411877,0.004508600203912776,0.010004762348514452,0.0044646792941623265,189603,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_b,16.0,3,0.0029276859613112465,4.56351550060498e-05,0.002814321951774883,0.00304104997084761,0.0065631710219053625,0.002927685961311246,124331,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_b,18.0,3,0.002009992246274595,6.294262380953846e-05,0.001853634100786926,0.0021663503917622637,0.004532709596728104,0.002009992246274595,85359,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_b,20.0,3,0.0014708012710382909,8.748160686213598e-05,0.0012534849123393697,0.001688117629737212,0.0033350064135441297,0.0014708012710382909,62461,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_c,-10.0,3,0.3894505912874952,0.00021057551569142281,0.3889274927077752,0.3899736898672152,0.6543121540252074,0.38945059128749515,16538926,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_c,-8.0,3,0.35921332276897666,0.0001617037000897928,0.35881162850943893,0.3596150170285144,0.6304376386565926,0.35921332276897666,15254830,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_c,-6.0,3,0.3227865431043837,8.648537078583389e-05,0.32257170153329184,0.32300138467547557,0.5945522177182597,0.3227865431043837,13707882,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_c,-4.0,3,0.27976434024763697,8.435116889136726e-05,0.2795548003279558,0.2799738801673181,0.5428284644896602,0.27976434024763697,11880844,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_c,-2.0,3,0.23078930230788242,6.397989116165958e-05,0.23063036744744808,0.23094823716831675,0.4725219562281797,0.23078930230788242,9801005,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_c,0.0,3,0.1780000851478106,2.1969868406030637e-05,0.17794550896917893,0.17805466132644227,0.3840716815105191,0.17800008514781057,7559188,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_c,2.0,3,0.12525768044554156,4.5280730576156294e-05,0.12514519687509748,0.12537016401598564,0.28369955447169,0.12525768044554156,5319359,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_c,4.0,3,0.07846540286217207,5.175704470815566e-05,0.07833683123555896,0.07859397448878519,0.1847161924765434,0.07846540286217207,3332216,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_c,6.0,3,0.0431162045325762,6.456980808659177e-05,0.04295580423726178,0.04327660482789061,0.10381526397656143,0.0431162045325762,1831030,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_c,8.0,3,0.021468339142975985,2.3380333632231847e-05,0.021410259174484667,0.021526419111467302,0.051609441344798716,0.021468339142975985,911703,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_c,10.0,3,0.010780193187572338,1.7628393057909064e-05,0.010736401831577981,0.010823984543566695,0.025387969693703646,0.010780193187572338,457806,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_c,12.0,3,0.0060407615002290695,1.0813925004375323e-05,0.006013898221312651,0.006067624779145488,0.01404176876333364,0.00604076150022907,256535,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_c,14.0,3,0.0037804827278043016,1.2880274905823891e-05,0.0037484863511718296,0.0038124791044367736,0.008770935218196012,0.0037804827278043016,160547,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_c,16.0,3,0.0025465694474585262,1.0297912363868418e-05,0.002520988015002179,0.0025721508799148736,0.00599776842707174,0.0025465694474585262,108146,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_c,18.0,3,0.0018335742714964314,2.6449602923330786e-05,0.0017678698154112926,0.0018992787275815702,0.004357831414856607,0.0018335742714964314,77867,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_c,20.0,3,0.0014173719618055557,5.131275075419634e-05,0.0012899040225586177,0.0015448399010524938,0.003302277808637374,0.0014173719618055555,60192,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_d,-10.0,3,0.3815159032374253,0.00014314348205838088,0.38116031511543946,0.3818714913594111,0.6499630279011197,0.38151590323742524,16201961,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_d,-8.0,3,0.3509435300473814,0.00016429681506975895,0.3505353941331308,0.351351665961632,0.6251124147279763,0.3509435300473814,14903634,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_d,-6.0,3,0.3141072591145833,8.342423610095253e-05,0.31390002182360316,0.31431449640556347,0.5881626877335854,0.3141072591145833,13339296,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_d,-4.0,3,0.2704819337821301,0.0001533044129294353,0.27010110450858,0.2708627630556802,0.53505061318477,0.2704819337821301,11486645,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_d,-2.0,3,0.2208226521809896,8.238955809033996e-05,0.22061798517267522,0.22102731918930396,0.46252379575629293,0.2208226521809896,9377748,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_d,0.0,3,0.16671809443721064,0.00011865110495669535,0.1664233487528358,0.1670128401215855,0.3704787479874529,0.16671809443721064,7080072,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_d,2.0,3,0.11260929814091436,0.00010526997440946028,0.112347793027559,0.11287080325426972,0.26517170290520164,0.11260929814091435,4782216,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_d,4.0,3,0.06491842387635031,9.089546894272142e-05,0.06469262701411398,0.06514422073858665,0.16119349347772424,0.06491842387635031,2756912,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_d,6.0,3,0.02992632359634211,7.35211159482634e-05,0.02974368701959819,0.03010896017308603,0.07779122168129242,0.02992632359634211,1270891,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_d,8.0,3,0.010193342044029706,2.430907622113696e-05,0.010132954951048696,0.010253729137010717,0.027635348138663873,0.010193342044029706,432884,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_d,10.0,3,0.002522150675455729,1.605824783693373e-05,0.0024822597764178685,0.0025620415744935896,0.007007519670698883,0.002522150675455729,107109,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_d,12.0,3,0.0005231315706983024,6.868087705474286e-06,0.0005060702950208833,0.0005401928463757216,0.0014795378417518266,0.0005231315706983024,22216,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_d,14.0,3,0.0001277452633704668,2.1959871705673055e-06,0.00012229012882533551,0.0001332003979155981,0.00036440573161778533,0.0001277452633704668,5425,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_d,16.0,3,4.622376995322145e-05,4.961769081799896e-07,4.49911981838655e-05,4.7456341722577394e-05,0.00013126930719866401,4.622376995322145e-05,1963,42467328
tdl_a,tdl_A_10_30_100_mix_normalized,tdl_d,18.0,3,2.5054554880401234e-05,1.4483156853835293e-06,2.1456739267685177e-05,2.865237049311729e-05,6.909147606533516e-05,2.5054554880401234e-05,1064,42467328
