train_domain,test_group,snr_db,num_train_seeds,real_pooled_ber,a_pooled_ber,pooled_difference,pooled_ratio,mean_paired_seed_difference,std_paired_seed_difference,paired_ci95_low,paired_ci95_high,real_mean_seed_bce,a_mean_seed_bce,mean_paired_seed_bce_difference,std_paired_seed_bce_difference,paired_bce_ci95_low,paired_bce_ci95_high
tdl_mix,umi,8.0,3,0.025305194619261187,0.024376763237847224,0.0009284313814139633,1.0380867374538258,0.0009284313814139668,1.7013759192851754e-05,0.0008861668605827754,0.0009706959022451582,0.05932997461454368,0.056825537510492186,0.002504437104051497,0.00012903531062074131,0.002183895622779041,0.002824978585323953
tdl_mix,umi,10.0,3,0.013644559883777007,0.013091193305121528,0.000553366578655479,1.0422701403728407,0.0005533665786554785,1.264429146245988e-05,0.0005219564173940379,0.000584776739916919,0.031280234502053555,0.02978727573321925,0.0014929587688343043,9.16607621716822e-05,0.0012652608128272873,0.0017206567248413214
tdl_mix,umi,12.0,3,0.008021413544077932,0.007693067009066358,0.00032834653501157343,1.0426808364758313,0.0003283465350115737,3.3908420138889853e-06,0.00031992321648996783,0.0003367698535331796,0.018055190688666,0.01714250939771717,0.000912681290948833,7.416029070645364e-05,0.0007284569160836358,0.0010969056658140302
tdl_mix,umi,14.0,3,0.0050448193962191355,0.004775624216338734,0.0002691951798804012,1.0563685850656779,0.0002691951798804012,2.7370437459041404e-05,0.00020120324399873555,0.0003371871157620669,0.011366143644453935,0.010630269810833313,0.0007358738336206225,7.507171927743998e-05,0.0005493853446705862,0.0009223623225706587
tdl_mix,umi,16.0,3,0.0033379072024498457,0.003065980510947145,0.0002719266915027006,1.0886915916561704,0.00027192669150270045,3.770097447872009e-05,0.000178272279026853,0.0003655811039785479,0.007543862797319889,0.006842979012965512,0.0007008837843543771,8.914196376756194e-05,0.0004794428704515671,0.0009223246982571872
tdl_mix,umi,18.0,3,0.002291173110773534,0.0020110518844039353,0.0002801212263695988,1.1392908997236664,0.0002801212263695988,4.838170121232494e-05,0.00015993441782490578,0.00040030803491429177,0.0052307635778561234,0.004513022718364718,0.0007177408594914057,7.24578444544099e-05,0.0005377455955632973,0.0008977361234195141
tdl_mix,umi,20.0,3,0.0016375883125964506,0.001323558666087963,0.00031402964650848754,1.2372615997722742,0.0003140296465084876,7.937472633344863e-05,0.00011685189545629045,0.0005112073975606847,0.0038630504723074902,0.003061111621920847,0.000801938850386643,6.920227288449742e-05,0.0006300308745689606,0.0009738468262043254
tdl_mix,umi_normalized,-10.0,3,0.39096493191189235,0.3958191106348862,-0.004854178722993818,0.9877363710023809,-0.0048541787229938365,0.00029688381404387886,-0.005591679001496244,-0.004116678444491429,0.6550880280541785,0.6580702603599171,-0.002982232305738649,0.00025387448634238045,-0.003612891491336718,-0.00235157312014058
tdl_mix,umi_normalized,-8.0,3,0.36070807186173803,0.3632833221812307,-0.0025752503194926835,0.992911179340603,-0.002575250319492665,0.00020227017905758468,-0.0030777172992709993,-0.0020727833397143304,0.6313268969088425,0.6332629970562311,-0.001936100147388616,0.00027330538242294943,-0.002615028354715343,-0.0012571719400618884
tdl_mix,umi_normalized,-6.0,3,0.3244948210539641,0.3253447921187789,-0.0008499710648148251,0.9973874760395596,-0.0008499710648147881,0.0002113509633064298,-0.0013749959631987956,-0.0003249461664307806,0.5956483273594467,0.5963664746578828,-0.0007181472984361115,0.000300808193188746,-0.0014653962751678563,2.9101678295633438e-05
